rpm,acc,mA,dir,cmd,enc,err,ms,eff_rpm,stall
80,192,,open,5126,5136,10,1360,70.8,0
80,192,,close,-5121,-5132,-11,1348,71.4,0
80,192,,open,5126,5136,10,1353,71.2,0
80,192,,close,-5120,-5130,-10,1346,71.5,0
80,240,,open,5125,5144,19,1233,78.2,0
80,240,,close,-5127,-5145,-18,1249,77.2,0
80,240,,open,5129,5150,21,1242,77.7,0
80,240,,close,-5131,-5149,-18,1241,77.8,0
80,250,,open,5129,5152,23,1226,78.8,0
80,250,,close,-5135,-5152,-17,1211,79.8,0
80,250,,open,5129,5150,21,1214,79.5,0
80,250,,close,-5132,-5150,-18,1211,79.7,0
160,192,,open,5129,5139,10,1009,95.5,0
160,192,,close,-5120,-5132,-12,1014,94.9,0
160,192,,open,5126,5137,11,1014,95.0,0
160,192,,close,-5121,-5133,-12,1012,95.1,0
160,240,,open,5126,5150,24,694,139.1,0
160,240,,close,-5137,-5161,-24,713,135.7,0
160,240,,open,5131,5156,25,707,136.7,0
160,240,,close,-5137,-5161,-24,711,136.1,0
160,250,,open,5131,5171,40,641,151.3,0
160,250,,close,-5151,-5190,-39,641,151.8,0
160,250,,open,5145,5185,40,646,150.5,0
160,250,,close,-5151,-5187,-36,637,152.7,0
240,192,,open,5143,5154,11,997,96.9,0
240,192,,close,-5118,-5129,-11,1012,95.0,0
240,192,,open,5125,5133,8,1011,95.2,0
240,192,,close,-5115,-5126,-11,1010,95.2,0
240,240,,open,5125,5150,25,564,171.2,0
240,240,,close,-5137,-5163,-26,565,171.3,0
240,240,,open,5133,5160,27,572,169.1,0
240,240,,close,-5139,-5166,-27,568,170.5,0
240,250,,open,5133,5171,38,539,179.9,0
240,250,,close,-5155,-5195,-40,549,177.4,0
240,250,,open,5158,5198,40,539,180.8,0
240,250,,close,-5157,-5197,-40,550,177.2,0
360,192,,open,5158,5168,10,1006,96.3,0
360,192,,close,-5119,-5130,-11,1016,94.7,0
360,192,,open,5125,5134,9,1015,94.8,0
360,192,,close,-5117,-5128,-11,1013,94.9,0
360,240,,open,5126,5152,26,523,184.7,0
360,240,,close,-5138,-5161,-23,543,178.2,0
360,240,,open,5131,5156,25,532,181.7,0
360,240,,close,-5136,-5160,-24,542,178.5,0
360,250,,open,5131,5166,35,468,207.0,0
360,250,,close,-5152,-5194,-42,369,263.9,0
360,250,,open,5150,5186,36,468,207.8,0
360,250,,close,-5154,-5196,-42,371,262.6,0
480,192,,open,5149,5160,11,1005,96.3,0
480,192,,close,-5119,-5130,-11,1012,95.0,0
480,192,,open,5125,5134,9,1013,95.0,0
480,192,,close,-5115,-5126,-11,1011,95.1,0
480,240,,open,5125,5151,26,523,184.7,0
480,240,,close,-5137,-5160,-23,544,177.8,0
480,240,,open,5131,5156,25,534,181.0,0
480,240,,close,-5136,-5159,-23,542,178.5,0
480,250,,open,5130,5130,0,354,271.7,0
480,250,,close,-5110,-5089,21,387,246.6,0
480,250,,open,5095,5102,7,360,265.7,0
480,250,,close,-5109,-5093,16,414,230.7,0
