id,text,description,source_description
mq_0239,There are No Accidents. No Coincidences. No Escapes. YOU CAN'T CHEAT DEATH.,Movie quote from Final Destination (2000),Final Destination (2000)
mq_0240,"Dude, where's my car?","Movie quote from Dude, Where's My Car? (2000)","Dude, Where's My Car? (2000)"
mq_0241,Do you know what happens to a toad when it's struck by lightning? The same thing that happens to everything else.,Movie quote from X-men (2000),X-men (2000)
mq_0242,Your eyes are like two big blue eyes.,Movie quote from Flintstones in Viva Rock Vegas (2000),Flintstones in Viva Rock Vegas (2000)
mq_0243,The key to a woman's heart is an unexpected gift at an unexpected time.,Movie quote from Finding Forrester (2000),Finding Forrester (2000)
mq_0244,"I'll take poor assumptions for $800, Alex.",Movie quote from Finding Forrester (2000),Finding Forrester (2000)
mq_0245,Wilsoooooon.,Movie quote from Cast Away (2000),Cast Away (2000)
mq_0246,"Wilma, whatever you decide to do, I want you to know something. Your daddy will always love you.",Movie quote from Flintstones in Viva Rock Vegas (2000),Flintstones in Viva Rock Vegas (2000)
mq_0247,Oh Fred. That's so sweet.,Movie quote from Flintstones in Viva Rock Vegas (2000),Flintstones in Viva Rock Vegas (2000)
mq_0248,"If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the star key.",Movie quote from The Grinch (2000),The Grinch (2000)
mq_0249,"My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the true emperor, Marcus Aurelius. Father to a murdered son, husband to a murdered wife. And I will have my vengeance, in this life or the next.",Movie quote from Gladiator (2000),Gladiator (2000)
mq_0250,"No thinking -- that comes later. You must write your first draft with your heart. You rewrite with your head. The first key to writing is... to write, not to think!",Movie quote from Finding Forrester (2000),Finding Forrester (2000)
mq_0251,We could not talk or talk forever and still find things to not talk about.,Movie quote from Best in Show (2000),Best in Show (2000)
mq_0252,Snnnnnooooooooooow!!!!!!!!!,Movie quote from Snow Day (2000),Snow Day (2000)
mq_0253,I have nipples Greg. Could you milk me?,Movie quote from Meet the Parents (2000),Meet the Parents (2000)
mq_0254,I've gotta get out of this place. Someday I'm getting on that train.,Movie quote from Spirited Away (2001),Spirited Away (2001)
mq_0255,Yeah. We graduated high school. How totally amazing.,Movie quote from Ghost World (2001),Ghost World (2001)
mq_0256,One can never have enough socks.,Movie quote from Harry Potter and the Philosopher's Stone (2001),Harry Potter and the Philosopher's Stone (2001)
mq_0257,"Just what do you think you're doing, Dave?",Movie quote from A Space Odyssey (2001),A Space Odyssey (2001)
mq_0258,"You're a wizard, Harry.",Movie quote from Harry Potter and the Sorcerer's Stone (2001),Harry Potter and the Sorcerer's Stone (2001)
mq_0259,"What you NEED to do is get me my chips!!! With dip!!! Cuz you're delinquent, motherfucker!",Movie quote from The Wash (2001),The Wash (2001)
mq_0260,You shall not pass!,Movie quote from The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring (2001)
mq_0261,Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,Movie quote from The Fast and The Furious (2001),The Fast and The Furious (2001)
mq_0262,Even the smallest person can change the course of the future.,Movie quote from The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring (2001)
mq_0263,"So be prepared, be enthusiastic, and leave your bullshit attitude and baggage at the door because we don't need it!",Movie quote from Wet Hot American Summer (2001),Wet Hot American Summer (2001)
mq_0264,I live my life a quarter mile at a time.,Movie quote from The Fast and the Furious (2001),The Fast and the Furious (2001)
mq_0265,They say that dreams are only real as long as they last. Couldn't you say the same thing about life?,Movie quote from Waking Life (2001),Waking Life (2001)
mq_0266,All we have to decide what to do with the time that is given to us.,Movie quote from Lord Of The Ring - The Fellowships Of The Ring (2001),Lord Of The Ring - The Fellowships Of The Ring (2001)
mq_0267,Exercise gives you endorphins. Endorphins make you happy. Happy people just don't shoot their husbands. They just don't.,Movie quote from Legally Blonde (2001),Legally Blonde (2001)
mq_0268,What is this? A center for ants?,Movie quote from Zoolander (2001),Zoolander (2001)
mq_0269,All we have to decide is what to do with the time that is given us.,Movie quote from The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring (2001)
mq_0270,"Of the days that I have lived, only those I spent with you seemed real.",Movie quote from Cowboy Bebop: The Movie (2001),Cowboy Bebop: The Movie (2001)
mq_0271,Ogres are like onions.,Movie quote from Shrek (2001),Shrek (2001)
mq_0272,"Once you meet someone, you never really forget them. It just takes a while for your memory to come back to you",Movie quote from Spirited Away (2001),Spirited Away (2001)
mq_0273,I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,Movie quote from The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring (2001)
mq_0274,The greatest thing you’ll ever learn is just to love and be loved in return.,Movie quote from Moulin Rouge (2001),Moulin Rouge (2001)
mq_0275,It's only in the mysterious equation of love that any logical reasons can be found.,Movie quote from A Beautiful Mind (2001),A Beautiful Mind (2001)
mq_0276,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.",Movie quote from The Lord of The Rings: The Fellowship of the Ring (2001),The Lord of The Rings: The Fellowship of the Ring (2001)
mq_0277,Even the smallest person can change the course of history.,Movie quote from The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring (2001)
mq_0278,"It’s a dangerous business, going out your door…You step into the Road, and if you don’t keep your feet, there is no knowing where you might be swept off to.",Movie quote from The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring (2001)
mq_0279,"No, I like you very much, just as you are.",Movie quote from Bridget Jone's Diary (2001),Bridget Jone's Diary (2001)
mq_0280,"Welcome the rich man, he's hard for you to miss. His butt keeps getting bigger, so there's plenty there to kiss!",Movie quote from Spirited Away (2001),Spirited Away (2001)
mq_0281,Do you like dags?,Movie quote from The Snatch (2001),The Snatch (2001)
mq_0282,"There’s some good in this world, and it’s worth fighting for.",Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0283,I'm tired of people who judge me without knowing my history.,Movie quote from 8 miles (2002),8 miles (2002)
mq_0284,"I don't like sand. It's all coarse, and rough, and irritating. And it gets everywhere.",Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0285,"Your time will come. You will face the same Evil, and you will defeat it.",Movie quote from The Lord of the Rings: The Fellowship of the Ring (2002),The Lord of the Rings: The Fellowship of the Ring (2002)
mq_0286,The battle of Helm's Deep is over; the battle for Middle Earth is about to begin. ,Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0287,It is not our abilities that show what we truly are… it is our choices.,Movie quote from Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Chamber of Secrets (2002)
mq_0288,With great power comes great responsibility.,Movie quote from Spider Man (2002),Spider Man (2002)
mq_0289,"Dadinho é o caralho, meu nome é Zé Pequeno porra!",Movie quote from Cidade de Deus (2002),Cidade de Deus (2002)
mq_0290,There is always hope.,Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0291,"You know, I'm something of a scientist myself.",Movie quote from Spiderman (2002),Spiderman (2002)
mq_0292,My precious,Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0293,"Li'l dice my ass, my name is now Li'l Zé now",Movie quote from City of God (2002),City of God (2002)
mq_0294,"But in the end it’s only a passing thing, this shadow, even darkness must pass.",Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0295,My precious...,Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0296,Dark have been my dreams of late.,Movie quote from The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers (2002)
mq_0297,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",Movie quote from Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Chamber of Secrets (2002)
mq_0298,Even the smallest person can change the course of the future.,Movie quote from The Lord of the Rings: The Fellowship of the Ring (2002),The Lord of the Rings: The Fellowship of the Ring (2002)
mq_0299,"Ye best start believin' in ghost stories, Miss Turner. Yer in one.",Movie quote from Pirates of the Carribean (2003),Pirates of the Carribean (2003)
mq_0300,This is the day you will always remember as the day you almost caught Captain Jack Sparrow,Movie quote from Pirates of the Caribbean: The Curse of the Black Pearl (2003),Pirates of the Caribbean: The Curse of the Black Pearl (2003)
mq_0301,You sit on a throne of lies.,Movie quote from Elf (2003),Elf (2003)
mq_0302,"To me, you are perfect.",Movie quote from Love Actually (2003),Love Actually (2003)
mq_0303,I will not say: do not weep; for not all tears are an evil.,Movie quote from The Lord of the Rings: Return of the King (2003),The Lord of the Rings: Return of the King (2003)
mq_0304,"I want to change things. I want to believe that anything can be changed. The moment I met you, a new world opened up for me. You see, after wandering in the darkness for so long, a light brought me happiness. It’s all thanks to you.",Movie quote from Chrono Crusade (2003),Chrono Crusade (2003)
mq_0305,The thing about romance is people only get together right at the very end.,Movie quote from Love Actually (2003),Love Actually (2003)
mq_0306,Why are you trying so hard to fit in when you were born to stand out?,Movie quote from What A Girl Wants (2003),What A Girl Wants (2003)
mq_0307,We're goin' streaking!,Movie quote from Old School (2003),Old School (2003)
mq_0308," You're my boy, Blue!",Movie quote from Old School (2003),Old School (2003)
mq_0309,"That there’s some good in this world, Mr. Frodo… and it’s worth fighting for.",Movie quote from The Lord of the Rings: The Two Towers (2003),The Lord of the Rings: The Two Towers (2003)
mq_0310,Just keep swimming.,Movie quote from Finding Nemo (2003),Finding Nemo (2003)
mq_0311,The problem is not the problem. The problem is your attitude about the problem. Do you understand?,Movie quote from Pirates of the Carribean (2003),Pirates of the Carribean (2003)
mq_0312,Not all treasure is silver and gold mate,Movie quote from Pirates of the Carribean (2003),Pirates of the Carribean (2003)
mq_0313,The ones that love us never really leave us.,Movie quote from Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Prisoner of Azkaban (2004)
mq_0314,"Boo, you whore!",Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0315,I want to play a game.,Movie quote from Saw (2004),Saw (2004)
mq_0316,Stop trying to make 'fetch' happen. It's not going to happen.,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0317,It's like I have ESPN or something.,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0318,We should totally just stab Caesar!,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0319,Whatever. I'm getting cheese fries.,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0320,That is so fetch!,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0321,You gonna eat your tots?,Movie quote from Napoleon Dynamite (2004),Napoleon Dynamite (2004)
mq_0322,"You gotta hear this one song. It'll change your life, I swear.",Movie quote from Garden State (2004),Garden State (2004)
mq_0323,A day may come when the courage of men fails… but it is not THIS day.,Movie quote from The Lord of the Rings: Return of the King (2004),The Lord of the Rings: Return of the King (2004)
mq_0324,That's why her hair is so big.  It's full of secrets.,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0325,You've got red on you,Movie quote from Shaun of the Dead (2004),Shaun of the Dead (2004)
mq_0326,Nobody makes me bleed my own blood. Nobody!,Movie quote from Dodgeball: A True Underdog Story (2004),Dodgeball: A True Underdog Story (2004)
mq_0327,I am gonna kill Bill.,Movie quote from Kill Bill (2004),Kill Bill (2004)
mq_0328,Is butter a carb?,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0329,I solemnly swear that I am up to no good.,Movie quote from Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Prisoner of Azkaban (2004)
mq_0330,I'm not drinking any f****** Merlot!,Movie quote from Sideways (2004),Sideways (2004)
mq_0331,Your identity is your most valuable possession. Protect it.,Movie quote from The Incredibles (2004),The Incredibles (2004)
mq_0332,Nunchuck skills… bowhunting skills… computer hacking skills… Girls only want boyfriends who have great skills!,Movie quote from Napoleon Dynamite (2004),Napoleon Dynamite (2004)
mq_0333,"No, I shot him. Bullets and the fall killed him.",Movie quote from Collateral (2004),Collateral (2004)
mq_0334,"They’ve done studies, you know. 60% of the time, it works every time.",Movie quote from Anchorman (2004),Anchorman (2004)
mq_0335,I wish I could bake a cake filled with rainbows and smiles and everyone would eat and be happy.,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0336,"Four for you, Glen Coco! You go, Glen Coco!",Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0337,There's a 30% chance that it's already raining.,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0338,She doesn't even go here!,Movie quote from Mean Girls (2004),Mean Girls (2004)
mq_0339,"You gotta hear this one song. It'll change your life, I swear.",Movie quote from Golden State (2004),Golden State (2004)
mq_0340,I love lamp.,Movie quote from Anchorman: The Legend of Ron Burgundy (2004),Anchorman: The Legend of Ron Burgundy (2004)
mq_0341,"You have bewitched me, body and soul.",Movie quote from Pride and Prejudice (2005),Pride and Prejudice (2005)
mq_0342,"Life is a banquet, and most poor suckers are starving to death!",Movie quote from Auntie Mame (2005),Auntie Mame (2005)
mq_0343,And a hero is a person who resigns to be forgotten as we forget the dead for revolution.,Movie quote from Gie (2005),Gie (2005)
mq_0344,"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",Movie quote from Harry Potter and the Goblet of Fire (2005),Harry Potter and the Goblet of Fire (2005)
mq_0345,Did you ever hear the tragedy of Darth Plagueis The Wise? I thought not. It's not a story the Jedi would tell you. It's a Sith legend.,Movie quote from Star Wars: Episode III – Revenge of the Sith (2005),Star Wars: Episode III – Revenge of the Sith (2005)
mq_0346,I am the Jewish James Bond!,Movie quote from Munich (2005),Munich (2005)
mq_0347,Why do we fall? So we can learn to pick ourselves up.,Movie quote from Batman begins (2005),Batman begins (2005)
mq_0348,"If you want to know what a man's like,take a good look at how he treats his inferiors.",Movie quote from Harry Potter and the Goblet of Fire (2005),Harry Potter and the Goblet of Fire (2005)
mq_0349,You know how I know that you're gay?,Movie quote from The 40-Year-Old Virgin (2005),The 40-Year-Old Virgin (2005)
mq_0350,Life is not the amount of breaths you take. It’s the moments that take your breath away.,Movie quote from Hitch (2005),Hitch (2005)
mq_0351,I wish I knew how to quit you.,Movie quote from Brokeback Mountain (2005),Brokeback Mountain (2005)
mq_0352,I am the senate!,Movie quote from Star Wars: Episode III – Revenge of the Sith (2005),Star Wars: Episode III – Revenge of the Sith (2005)
mq_0353,"It's not who I am underneath, but what I do that defines me",Movie quote from Batman Begins (2005),Batman Begins (2005)
mq_0354,Didn't I tell you about the football field in the bathroom cupboard?,"Movie quote from The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)"
mq_0355,Why do we fall sir? So that we can learn to pick ourselves up.,Movie quote from Batman Begins (2005),Batman Begins (2005)
mq_0356,What's comin' will come and we'll meet it when it does.,Movie quote from Harry Potter and the Goblet of Fire (2005),Harry Potter and the Goblet of Fire (2005)
mq_0357,"Happiness is the most insidious prison of all, Evey.",Movie quote from V for Vendetta (2005),V for Vendetta (2005)
mq_0358,All's fair in Love and Basketball baby,Movie quote from Love and Basketball (2005),Love and Basketball (2005)
mq_0359,"Be it a stone or a grain of sand, in water they both sink.",Movie quote from OldBoy (2005),OldBoy (2005)
mq_0360,They don't know that we know they know we know.,Movie quote from Friends (2005),Friends (2005)
mq_0361,That's what she said.,Movie quote from The Office (2005),The Office (2005)
mq_0362,"I'm sorry father, for you there is only death. But our destiny is life!",Movie quote from The Fountain (2006),The Fountain (2006)
mq_0363,"If you ain't first, you're last.",Movie quote from Taladega Nights (2006),Taladega Nights (2006)
mq_0364,"Walk that walk and go forward all the time. Don't just talk that talk, walk it and go forward. Also, the walk didn't have to be long strides; baby steps counted too. Go forward.",Movie quote from The Pursuit of Happyness (2006),The Pursuit of Happyness (2006)
mq_0365,"I can't really remember when I last had any hope, and I certainly can't remember when anyone else did either. Because really, since women stopped being able to have babies, what's left to hope for?",Movie quote from Children Of Men (2006),Children Of Men (2006)
mq_0366,"Y'know that ringing in your ears? That 'eeeeeeeeee'? That's the sound of the ear cells dying, like their swan song. Once it's gone you'll never hear that frequency again. Enjoy it while it lasts.",Movie quote from Children Of Men (2006),Children Of Men (2006)
mq_0367,Life’s simple. You make choices and you don’t look back.,Movie quote from The Fast and The Furious: Tokyo Drift (2006),The Fast and The Furious: Tokyo Drift (2006)
mq_0368,I'm gonna say what any man with two penises would say when his tailor asks him if he dresses right or left... Yes.,Movie quote from Lucky Number Slevin (2006),Lucky Number Slevin (2006)
mq_0369,"People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period. ",Movie quote from The pursuit of Happyness (2006),The pursuit of Happyness (2006)
mq_0370,Speed. I am speed.,Movie quote from Cars (2006),Cars (2006)
mq_0371,I'm just one stomach flu away from my goal weight.,Movie quote from Devil wears Prada (2006),Devil wears Prada (2006)
mq_0372,Float like a cadillac sting like a beemer.,Movie quote from Cars (2006),Cars (2006)
mq_0373,The world is your oyester. It's up to you to find the pearls.,Movie quote from The Pursuit of Happyness (2006),The Pursuit of Happyness (2006)
mq_0374,Florals? For Spring. Groundbreaking.,Movie quote from The Devil Wears Prada (2006),The Devil Wears Prada (2006)
mq_0375,"Nobody is gonna hit as hard as life, but it ain’t how hard you can hit. It’s how hard you can get hit and keep moving forward. It’s how much you can take, and keep moving forward. That’s how winning is done.",Movie quote from Rocky Balboa (2006),Rocky Balboa (2006)
mq_0376,Very nice!,Movie quote from Borat (2006),Borat (2006)
mq_0377,I have had it with these motherfuckin' snakes on this motherfuckin' plane!,Movie quote from Snakes on a Plane (2006),Snakes on a Plane (2006)
mq_0378,"Don’t ever let somebody tell you, you can’t do something. Not even me. Alright?",Movie quote from The Pursuit of Happyness (2006),The Pursuit of Happyness (2006)
mq_0379,Death is the road to awe.,Movie quote from The Fountain (2006),The Fountain (2006)
mq_0380,"The past can't hurt you anymore, unless you let it.",Movie quote from V for Vendetta (2006),V for Vendetta (2006)
mq_0381,This is Sparta!,Movie quote from 300 (2006),300 (2006)
mq_0382,"That's the beauty of argument. When you argue correctly, you're never wrong.",Movie quote from Thank You for Smoking (2006),Thank You for Smoking (2006)
mq_0383,"Dear 8-pound, 6-ounce newborn infant Jesus...",Movie quote from Talledega Nights: The Ballad of Ricky Bobby (2006),Talledega Nights: The Ballad of Ricky Bobby (2006)
mq_0384,Are you watching closely?,Movie quote from The Prestige (2006),The Prestige (2006)
mq_0385,Dreams remind us what reality is.,Movie quote from A Scanner Darkly (2006),A Scanner Darkly (2006)
mq_0386,TIA This is Africa,Movie quote from Blood Diamond (2006),Blood Diamond (2006)
mq_0387,"When you're looking for a cancer kid, he should be hopeless. He should have a wheelchair, he should have trouble talking, he should have a little pet goldfish in a Zip-lock bag, hopeless.",Movie quote from Thank You for Smoking (2006),Thank You for Smoking (2006)
mq_0388,"You got a dream... You gotta protect it. People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it. Period.",Movie quote from The Pursuit of Happyness (2006),The Pursuit of Happyness (2006)
mq_0389,Give Them Nothing... But take from Them Everything!,Movie quote from 300 (2007),300 (2007)
mq_0390,"If we admit that human life can be ruled by reason, then all possibility of life is destroyed.",Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0391,"The woods are lovely, dark and deep, and I have promises to keep and miles to go before I sleep. Did you hear me butterfly? Miles to go before you sleep.",Movie quote from Death Proof (2007),Death Proof (2007)
mq_0392,I read somewhere... how important it is in life not necessarily to be strong... but to feel strong.,Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0393," Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",Movie quote from The Simpsons movie (2007),The Simpsons movie (2007)
mq_0394,"When you want something in life, you just gotta reach out and grab it.",Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0395,"...And I also know how important it is in life not necessarily to be strong but to feel strong. To measure yourself at least once. To find yourself at least once in the most ancient of human conditions. Facing the blind death stone alone, with nothing to help you but your hands and your own head",Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0396,"Anyway, my mum always said things we lose have a way of coming back to us in the end, if not always in the way we expect.",Movie quote from Harry potter and the Order of the Phoenix (2007),Harry potter and the Order of the Phoenix (2007)
mq_0397,"They all deserve to die. Even you, Mrs. Lovett. Even I. Because the lives of the wicked should be made brief. For the rest of us death would be relief.",Movie quote from Sweeney Todd: The Demon Barber of Fleet Street  (2007),Sweeney Todd: The Demon Barber of Fleet Street  (2007)
mq_0398,"As long as the concept of winners exists, there must also be losers.",Movie quote from Naruto Shippuden (2007),Naruto Shippuden (2007)
mq_0399,We’ve all got both light and darkness inside us. What matters is the part we choose to act on. That’s who we really are.,Movie quote from Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Order of the Phoenix (2007)
mq_0400,"Not anyone can become a great artist, but a great artist can come from anywhere.",Movie quote from Ratatouille (2007),Ratatouille (2007)
mq_0401,Happiness is only real when shared,Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0402,Bazinga!,Movie quote from The Big Bang theory (2007),The Big Bang theory (2007)
mq_0403,What's the most you ever lost on a coin toss?,Movie quote from No Country for Old Men (2007),No Country for Old Men (2007)
mq_0404,"There's no room for softness... not in Sparta. No place for weakness. Only the hard and strong may call themselves Spartans. Only the hard, only the strong.",Movie quote from 300 (2007),300 (2007)
mq_0405,I never realized how much I loved being home unless I'd been somewhere really different for awhile.,Movie quote from Juno (2007),Juno (2007)
mq_0406,We've all got both light and darkness inside us. What matters is the part we choose to act on. That's who we really are.,Movie quote from Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Order of the Phoenix (2007)
mq_0407,"These are desperate times, Mrs Lovett. And desperate measures are called for.",Movie quote from Sweeney Todd: The Demon Barber of Fleet Street (2007),Sweeney Todd: The Demon Barber of Fleet Street (2007)
mq_0408,"I'm already pregnant. So, what other shenanigans could I get myself into?",Movie quote from Juno (2007),Juno (2007)
mq_0409,"Music's the only thing that makes sense anymore, man. Play it loud enough, it keeps the demons at bay.",Movie quote from Across the Universe (2007),Across the Universe (2007)
mq_0410,"Some people feel like they don't deserve love. They walk away quietly into empty spaces, trying to close the gaps of the past.",Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0411,"But when you forgive, you love. And when you love, God's light shines through you.",Movie quote from Into the Wild (2007),Into the Wild (2007)
mq_0412,"Sometimes, informations is more dangerous than weapons",Movie quote from Naruto Shippuden (2007),Naruto Shippuden (2007)
mq_0413, It's not about what I want. It's about what's fair!,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0414," About three things I was absolutely certain. First, Edward was a vampire. Second, there was part of him-and I didn't know how potent that part might be- that thirsted for my blood. and third, I was unconditionally and irrevocably in love with him.",Movie quote from Twilight (2008),Twilight (2008)
mq_0415,Some men just want to watch the world burn. ,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0416,"It is within my power to drastically change his cirumstances, but I don't want to give that man a gift he doesn't deserve.",Movie quote from Seven Pounds (2008),Seven Pounds (2008)
mq_0417,I don't know what kind of gun this is. I only know the sound it makes when it kills a man.,Movie quote from Tropic Thunder (2008),Tropic Thunder (2008)
mq_0418,"Sometimes the truth isn’t good enough, sometimes people deserve more. Sometimes people deserve to have their faith rewarded    ",Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0419,It's not about money...it’s about sending a message. Everything burns!,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0420,"If you let my daughter go now, that'll be the end of it. I will not look for you, I will not pursue you. But if you don't, I will look for you, I will find you, and I will kill you.",Movie quote from Taken (2008),Taken (2008)
mq_0421,There is no secret ingredient. It’s just you.,Movie quote from Kung Fu Panda (2008),Kung Fu Panda (2008)
mq_0422,Why so serious?,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0423,"You either die a hero, or you live long enough to see yourself become the villain.",Movie quote from Batman: The Dark Knight (2008),Batman: The Dark Knight (2008)
mq_0424,Give me a scotch!,Movie quote from Iron Man (2008),Iron Man (2008)
mq_0425,I don't read the script. The script reads me.,Movie quote from Tropic Thunder (2008),Tropic Thunder (2008)
mq_0426,Me? I know who I am. I'm a dude playing a dude disguised as another dude.,Movie quote from Tropic Thunder (2008),Tropic Thunder (2008)
mq_0427,May the odds ever be in your favor.,Movie quote from The Hunger Games (2008),The Hunger Games (2008)
mq_0428,Don't talk like you're one of them,Movie quote from The Dark knight (2008),The Dark knight (2008)
mq_0429,"Our lives are defined by opportunities, even the ones we miss.",Movie quote from Benjamin Button (2008),Benjamin Button (2008)
mq_0430,"You see, in their last moments people show you who they really are.",Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0431,"If you’re good at something, never do it for free.",Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0432,I'm not a big fat panda. I'm THE big fat panda.,Movie quote from Kung Fu Panda (2008),Kung Fu Panda (2008)
mq_0433,You either die a hero or live long enough to see yourself become the villian.,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0434,Let's put a smile on that face!,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0435,"I believe whatever doesn’t kill you, simply makes you stranger.",Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0436,"Is it better to be feared or respected? I say, is it too much to ask for both?",Movie quote from Ironman 1 (2008),Ironman 1 (2008)
mq_0437,"Madness, as you know, is like gravity, all it takes is a little push.",Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0438,"I am not in danger, I am the danger",Movie quote from Breaking Bad (2008),Breaking Bad (2008)
mq_0439,Some men just want to watch the world burn.,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0440,Does it depress you? To know just how alone you really are?,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0441,Fuck them kids,Movie quote from Soul Men (2008),Soul Men (2008)
mq_0442,Do i look like a guy with plan?,Movie quote from the dark knight (2008),the dark knight (2008)
mq_0443,It's not about what I want. It's about what's fair!,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0444,Nobody panics when things go “according to plan”. Even if the plan is horrifying!,Movie quote from The Dark Knight (2008),The Dark Knight (2008)
mq_0445,Adventure is out there,Movie quote from Up (2009),Up (2009)
mq_0446,Nobody knows this mall better than I do.,Movie quote from Paul Blart: Mall Cop (2009),Paul Blart: Mall Cop (2009)
mq_0447,"If what I think is happening is happening, it better not be.",Movie quote from Fantastic Mr. Fox (2009),Fantastic Mr. Fox (2009)
mq_0448,"I love you too, but I shouldn't have married you.",Movie quote from Fantastic Mr. Fox (2009),Fantastic Mr. Fox (2009)
mq_0449,"I love rumors! Facts can be so misleading, but rumors, true or false, are often revealing",Movie quote from Inglorious Basterds (2009),Inglorious Basterds (2009)
mq_0450,Just because she likes the same bizzaro crap you do doesn't mean she's your soul mate.,Movie quote from 500 Days of Summer (2009),500 Days of Summer (2009)
mq_0451,Didn't I tell you not to come to my house? Nobody touches my child!,Movie quote from Obsessed (2009),Obsessed (2009)
mq_0452,"You've ever been to Del Frisco's? They cater, so for lunch I would love a twenty ounce porterhouse steak, medium maybe a little charred, with all the trimmings pommes frites, asparagus, and butter squash.",Movie quote from Law Abiding Citizen (2009),Law Abiding Citizen (2009)
mq_0453,"We're all different... Him, especially. But there's something kind of fantastic about that, isn't there?",Movie quote from Fantastic Mr. Fox (2009),Fantastic Mr. Fox (2009)
mq_0454,It is impossible to manufacture or imitate love,Movie quote from Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Half-Blood Prince (2009)
